scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence,score
Steelwork,Steelwork,Steelwork,,117.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,118.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,119.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,120.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,121.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,122.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,123.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,124.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,125.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,126.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,127.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,128.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,129.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,130.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,131.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,132.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,133.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,134.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,135.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,136.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,137.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,138.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,139.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,140.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,141.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,142.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,143.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,144.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,145.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,146.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,147.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,148.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,149.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,150.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,151.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,152.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,153.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,154.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,155.0,UNMATCHED,UNMATCHED,0.0
Electrics,Electrics,Electrics,1.0,1.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,2.0,2.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,3.0,3.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,4.0,4.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,5.0,5.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,6.0,6.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,7.0,7.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,8.0,8.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,9.0,9.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,10.0,10.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,11.0,11.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,12.0,12.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,13.0,13.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,14.0,14.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,15.0,15.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,16.0,16.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,17.0,17.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,18.0,18.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,19.0,19.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,20.0,20.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,21.0,21.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,22.0,22.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,23.0,23.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,24.0,24.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,25.0,25.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,26.0,26.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,27.0,27.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,28.0,28.0,ITEM_ID_EXACT,AUTO,100.0
