scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence
Electrics,Electrics,Electrics,131.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,132.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,133.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,134.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,135.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,136.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,137.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,138.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,139.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,140.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,141.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,142.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,143.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,144.0,,UNMATCHED,UNMATCHED
Electrics,Electrics,Electrics,145.0,,UNMATCHED,UNMATCHED
