item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
9.,"Total Price: 
",,,,,,,0.0,,,,,9.,total price:,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
10.,,,,,,,,,,,,,10.,,,,,,,,ATS Mechanics v2,B
10.1,,,,0.0,,,,0.0,,,,,10.1,,,,,,,,ATS Mechanics v2,B
10.2,,,,0.0,,,,0.0,,,,,10.2,,,,,,,,ATS Mechanics v2,B
10.3,,,,0.0,,,,0.0,,,,,10.3,,,,,,,,ATS Mechanics v2,B
10.4,,,,0.0,,,,0.0,,,,,10.4,,,,,,,,ATS Mechanics v2,B
10.5,,,,0.0,,,,0.0,,,,,10.5,,,,,,,,ATS Mechanics v2,B
10.6,,,,0.0,,,,0.0,,,,,10.6,,,,,,,,ATS Mechanics v2,B
10.7,,,,0.0,,,,0.0,,,,,10.7,,,,,,,,ATS Mechanics v2,B
10.8,,,,0.0,,,,0.0,,,,,10.8,,,,,,,,ATS Mechanics v2,B
10.9,,,,0.0,,,,0.0,,,,,10.9,,,,,,,,ATS Mechanics v2,B
10.10,,,,0.0,,,,0.0,,,,,10.10,,,,,,,,ATS Mechanics v2,B
10.11,,,,0.0,,,,0.0,,,,,10.11,,,,,,,,ATS Mechanics v2,B
10.12,,,,0.0,,,,0.0,,,,,10.12,,,,,,,,ATS Mechanics v2,B
10.13,,,,0.0,,,,0.0,,,,,10.13,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,ATS Mechanics v2,B
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
